trial,type,Target,Competitor,Face,Hand,start,name1,look,name2,initiate_reach,name3,point_of_contact,end,clip_type,object,object_type
1,Learning,gazzer,modi,carissa,NA,12.31,14.1,15.7,16.75,21.98,24.52,23.11,31,dialogue,gazzer,novel
2,Learning,modi,gazzer,nick,NA,37.35,38.83,40.55,41.54,48.7,48.17,49.61,55.2,dialogue,modi,novel
3,Learning,modi,dog,nick,NA,88.1,89.25,91.45,91.94,96,99.43,98.71,105,mono,modi,novel
4,Learning,dog,modi,nick,NA,108.3,110,112.03,113.06,118.37,120.05,119.45,125.96,mono,dog,familiar
5,Learning,plane,gazzer,carissa,NA,150.81,152,154.05,155.08,159.88,161.55,160.72,167.96,mono,plane,familiar
6,Learning,gazzer,plane,carissa,NA,169.38,171.13,173.46,174.6,181.3,182.4,181.97,187.8,mono,gazzer,novel
7,Learning,modi,gazzer,nick,NA,218.61,220.44,22.11,226.53,230.42,232,231.59,237.67,dialogue,modi,novel
8,Learning,gazzer,modi,carissa,NA,244.78,248,250.45,252.25,255.88,257.79,256.72,263.19,dialogue,gazzer,novel
