point,instance,start_time,end_time,true_x,true_y
1,1,134.467,135.935,960,542
2,1,136.436,138.438,658,266
3,1,138.938,140.94,658,816
4,1,141.441,143.443,1260,266
5,1,143.943,145.945,1260,816
6,1,146.446,148.248,960,542
1,2,286.552,288.02,960,542
2,2,288.521,290.523,658,266
3,2,291.024,293.026,658,816
4,2,293.526,295.528,1260,266
5,2,296.029,298.031,1260,816
6,2,298.531,300.5,960,542
