trial,type,Target,Competitor,Face,Hand,start,name1,look,name2,initiate_reach,name3,point_of_contact,end,clip_type,object,object_type
1,Learning,D1_fep,D1_toma,D1_ariel_face,D1_ariel_L_hand,10,11.91,15.55,18.08,20.42,21.69,21.12,25,dialogue,fep,novel
2,Learning,D1_toma,D1_fep,D1_joel_face,D1_joel_L_hand,35,36.67,38.13,39.54,42.51,44.17,43.47,47,dialogue,toma,novel
3,Learning,M1_cat,M1_fep,M1_ariel_face,M1_ariel_L_hand,73.5,75.24,76.17,76.77,80.04,81.61,80.61,85,mono,cat,familiar
4,Learning,M1_fep,M1_cat,M1_ariel_face,M1_ariel_L_hand,86,87.55,88.55,90.95,92.66,96.09,93.32,99,mono,fep,novel
5,Learning,M2_toma,M2_ball,M2_joel_face,M2_joel_R_hand,126.5,127.59,129.19,131.06,135.37,140.34,136.43,142.5,mono,toma,novel
6,Learning,M2_ball,M2_toma,M2_joel_face,M2_joel_R_hand,145,146.81,148.44,151.98,154.92,155.82,155.79,160,mono,ball,familiar
7,Learning,D2_toma,D2_fep,D2_joel_face,D2_joel_L_hand,197,198.43,199.66,202.53,204.6,207.8,205.57,210,dialogue,toma,novel
8,Learning,D2_fep,D2_toma,D2_ariel_face,D2_ariel_L_hand,215,217.81,219.52,220.45,222.82,224.78,223.59,230,dialogue,fep,novel
