point,instance,start_time,end_time,true_x,true_y
1,1,130.663,132.132,960,542
2,1,132.632,134.632,658,266
3,1,135.135,137.137,658,816
4,1,137.637,139.639,1260,266
5,1,140.14,142.142,1260,816
6,1,142.642,144.377,960,542
1,2,273.34,274.808,960,542
2,2,275.308,277.31,658,266
3,2,277.811,279.593,658,816
4,2,280.313,282.315,1260,266
5,2,282.816,284.818,1260,816
6,2,285.318,287.153,960,542
