trial,type,Target,Competitor,Face,Hand,start,name1,look,name2,initiate_reach,name3,point_of_contact,end,clip_type,object_type
1,Learning,manu,tima,carissa,NA,15.41,16.05,18.34,19,24.68,26.18,25.58,31.93,dialogue,novel
2,Learning,tima,manu,nick,NA,39.14,41.41,43.09,44.72,51.12,54.08,52.21,59.58,dialogue,novel
3,Learning,cup,tima,nick,NA,90.81,91.36,93.04,94.71,101.2,103.35,102.27,108.26,mono,familiar
4,Learning,tima,cup,nick,NA,110.83,111.56,114,114.68,120.22,121.57,121.14,128.15,mono,novel
5,Learning,manu,apple,carissa,NA,155.23,156.35,158.34,159.69,164.83,164.26,165.76,171.78,mono,familiar
6,Learning,apple,manu,carissa,NA,173.63,178.21,180.45,183.72,188.88,190.31,189.72,195.66,mono,novel
7,Learning,tima,manu,nick,NA,234.31,236.46,237.95,241.65,245.3,247.19,246.19,252.25,dialogue,novel
8,Learning,manu,tima,carissa,NA,260.78,263.71,265.99,268.1,271.84,273.92,273.16,279.57,dialogue,novel
